Airport,Initial_z_score,Delay_Score,Datetime
LGA,0.16529888822158653,0.577283954690614,2023-06-01 11:00:00
MCO,0.6390740607019354,0.6055443360129511,2023-06-01 11:00:00
MDW,0.0,0.5004222407837707,2023-06-01 11:00:00
MIA,0.9696718371451084,0.6489887349462942,2023-06-01 11:00:00
MSP,0.0,0.49986149272314373,2023-06-01 11:00:00
ORD,0.6355099204071408,0.5991929608281845,2023-06-01 11:00:00
PHL,0.16529888822158653,0.5683815842387457,2023-06-01 11:00:00
PHX,0.0,0.48907210406355994,2023-06-01 11:00:00
SAN,0.0,0.48974660201594333,2023-06-01 11:00:00
SEA,0.0,0.4901061442010444,2023-06-01 11:00:00
SFO,0.0,0.49673537961919323,2023-06-01 11:00:00
SLC,0.4065696597405991,0.5800739768836358,2023-06-01 11:00:00
TPA,0.5718685479621857,0.5873228487264903,2023-06-01 11:00:00
ATL,1.418330873935128,0.8702503686747747,2023-06-01 12:00:00
AUS,0.8131393194811982,0.8038718640428096,2023-06-01 12:00:00
BNA,0.8404630419284908,0.7992946342102869,2023-06-01 12:00:00
BOS,0.43623600816845776,0.7403839129532321,2023-06-01 12:00:00
BWI,0.5718685479621857,0.8019876201015,2023-06-01 12:00:00
CLT,0.8715784616632717,0.8060422783690117,2023-06-01 12:00:00
DCA,0.0,0.6928107578933291,2023-06-01 12:00:00
DEN,1.5503067556649706,0.8923725180521991,2023-06-01 12:00:00
DFW,1.210942608664121,0.8356880457832915,2023-06-01 12:00:00
DTW,1.1128492331822843,0.8077485803997713,2023-06-01 12:00:00
EWR,0.4065696597405991,0.7537716093257021,2023-06-01 12:00:00
FLL,2.170399003944631,0.9797992000232413,2023-06-01 12:00:00
IAD,0.4065696597405991,0.7955279872330357,2023-06-01 12:00:00
IAH,0.31081891023932834,0.7291688484851098,2023-06-01 12:00:00
JFK,0.5010988949276414,0.768977024842737,2023-06-01 12:00:00
LAS,1.715605643886557,0.8995872069095201,2023-06-01 12:00:00
LAX,0.0,0.6708348638308292,2023-06-01 12:00:00
LGA,0.06720551273974976,0.7030926655162704,2023-06-01 12:00:00
MCO,2.6992460818522237,1.06797785615074,2023-06-01 12:00:00
MDW,0.0,0.6914795995601188,2023-06-01 12:00:00
MIA,0.8008088086287274,0.8005737099250384,2023-06-01 12:00:00
MSP,0.4065696597405991,0.7005143588815319,2023-06-01 12:00:00
ORD,1.4780880313235039,0.8759021801164573,2023-06-01 12:00:00
PHL,0.47377517248034884,0.7697658420057367,2023-06-01 12:00:00
PHX,0.0,0.6627307000029647,2023-06-01 12:00:00
SAN,0.0,0.6594912780048822,2023-06-01 12:00:00
SEA,0.0,0.6588213829123332,2023-06-01 12:00:00
SFO,0.0,0.6564294291271022,2023-06-01 12:00:00
SLC,0.16529888822158653,0.7034699660474559,2023-06-01 12:00:00
